id,cd_estab,nm_ab_cliente,nr_nota_fis,dt_saida,hr_grade,cd_produto,un_embalagem,qt_embalagem,qt_pilha,qt_carregada,qt_falta,id_motivo,qt_pallet,vl_base_multa,vl_multa,usr_atlz_id,base_id,dt_atlz
314,JAG,FFJDI,20604,,16:00,503500063,CX,40,0/40,0,0,,0,0,0,1,317,2016-10-30 16:04:30
315,JAG,FFJDI,20604,,16:00,503500064,CX,24,0/24,0,0,,0,0,0,1,317,2016-10-30 16:04:30
316,JAG,FFJDI,20604,,16:00,503500065,CX,20,0/20,0,0,,0,0,0,1,317,2016-10-30 16:04:30
317,JAG,FFJDI,20604,,16:00,503500028,CX,20,0/20,0,0,,0,0,0,1,317,2016-10-30 16:04:30
318,JAG,FFJDI,20605,,11:00,503500063,CX,72,0/72,0,0,,0,0,0,1,320,2016-10-30 16:04:30
319,JAG,FFJDI,20605,,11:00,503500064,CX,12,0/12,0,0,,0,0,0,1,320,2016-10-30 16:04:30
320,JAG,FFJDI,20605,,11:00,503500028,CX,20,0/20,0,0,,0,0,0,1,320,2016-10-30 16:04:30
321,JAG,FFJDI,20606,,4:00,503500064,CX,104,0/104,0,0,,0,0,0,1,321,2016-10-30 16:04:30
322,JAG,FFJDI,20607,,22:00,503500064,CX,64,0/64,0,0,,0,0,0,1,324,2016-10-30 16:04:30
323,JAG,FFJDI,20607,,22:00,503500028,CX,20,0/20,0,0,,0,0,0,1,324,2016-10-30 16:04:30
